"","CatID","Sex","Age","ReprodStat","Season","Photoperiod","DateGMT","TimeGMT","DateTimeET","DateTimeET2","DateET2","TIMEET2","TTF","Zone","X","Y"
"21005","121","F","A",2,"DRY","DAY",NA,NA,200603150903,"20060315 903","2006 3 15",903,NA,"17",499183.006126031,2905904.70910906
"21006","121","F","A",2,"DRY","DAY",NA,NA,200603151604,"20060315 1604","2006 3 15",1604,NA,"17",499094.131704483,2905839.35044003
"21007","121","F","A",2,"DRY","NIGHT",NA,NA,200603160603,"20060316 603","2006 3 16",603,NA,"17",498820.056851793,2906336.06025718
"21008","121","F","A",2,"DRY","DAY",NA,NA,200603161304,"20060316 1304","2006 3 16",1304,NA,"17",499331.225841492,2905708.78780387
"21009","121","F","A",2,"DRY","NIGHT",NA,NA,200603170304,"20060317 304","2006 3 17",304,NA,"17",499429.426644288,2905812.07688767
"21010","121","F","A",2,"DRY","DAY",NA,NA,200603171004,"20060317 1004","2006 3 17",1004,NA,"17",500088.192508299,2904285.49580223
"21011","121","F","A",2,"DRY","DAY",NA,NA,200603171703,"20060317 1703","2006 3 17",1703,NA,"17",501862.72934787,2905965.53700733
"21012","121","F","A",2,"DRY","NIGHT",NA,NA,200603180003,"20060318 003","2006 3 18",3,NA,"17",500073.166926205,2906131.62887134
"21013","121","F","A",2,"DRY","DAY",NA,NA,200603180704,"20060318 704","2006 3 18",704,NA,"17",499399.606567841,2905839.74377047
"21014","121","F","A",2,"DRY","DAY",NA,NA,200603181403,"20060318 1403","2006 3 18",1403,NA,"17",499215.914176859,2906053.21953131
"21015","121","F","A",2,"DRY","NIGHT",NA,NA,200603182104,"20060318 2104","2006 3 18",2104,NA,"17",499364.520421848,2905854.57450328
"21016","121","F","A",2,"DRY","NIGHT",NA,NA,200603190403,"20060319 403","2006 3 19",403,NA,"17",499227.502561379,2906041.01616392
"21017","121","F","A",2,"DRY","DAY",NA,NA,200603191104,"20060319 1104","2006 3 19",1104,NA,"17",499405.924165398,2905953.27000069
"21018","121","F","A",2,"DRY","DAY",NA,NA,200603191803,"20060319 1803","2006 3 19",1803,NA,"17",499325.100181866,2905830.2192557
"21019","121","F","A",2,"DRY","NIGHT",NA,NA,200603200104,"20060320 104","2006 3 20",104,NA,"17",498687.955580149,2906816.86671492
"21020","121","F","A",2,"DRY","DAY",NA,NA,200603200803,"20060320 803","2006 3 20",803,NA,"17",498942.296307817,2906153.29802928
"21021","121","F","A",2,"DRY","DAY",NA,NA,200603201504,"20060320 1504","2006 3 20",1504,NA,"17",499246.342766605,2905901.83012727
"21022","121","F","A",2,"DRY","NIGHT",NA,NA,200603202204,"20060320 2204","2006 3 20",2204,NA,"17",499176.504396033,2905661.80754554
"21023","121","F","A",2,"DRY","NIGHT",NA,NA,200603210503,"20060321 503","2006 3 21",503,NA,"17",499266.440349627,2905749.28207521
"21024","121","F","A",2,"DRY","DAY",NA,NA,200603211204,"20060321 1204","2006 3 21",1204,NA,"17",499418.709551446,2905934.74221704
