crop,d_cover,d_roads,animal_id,use,roaddist,BinRoad,NewDate,Season,cropnew,std_cover,std_roads
2,169.7056275,30,647572A,1,35.98301127,0-200,10/25/2011 12:00,winter2012,1,0.63711641,-1.104775143
4,0,547.4486277,647572A,1,560.6243183,400-600,10/25/2011 15:01,winter2012,2,-0.714657587,0.538249614
4,0,510.881591,647572A,1,520.1919017,400-600,10/25/2011 18:00,winter2012,2,-0.714657587,0.422140413
4,0,510.881591,647572A,1,530.3513506,400-600,10/25/2011 21:00,winter2012,2,-0.714657587,0.422140413
2,335.4101966,182.4828759,647572A,1,186.3572555,0-200,10/26/2011 0:00,winter2012,1,1.957020359,-0.620605069
5,30,152.9705854,647572A,1,160.2955056,0-200,10/26/2011 3:00,winter2012,3,-0.475695447,-0.714313742
2,134.1640786,90,647572A,1,110.4334687,0-200,10/26/2011 6:00,winter2012,1,0.354013591,-0.914260606
5,212.1320344,0,647572A,1,13.98866315,0-200,10/26/2011 9:00,winter2012,3,0.97505991,-1.200032411
4,0,30,647572A,1,32.04847515,0-200,10/26/2011 12:00,winter2012,2,-0.714657587,-1.104775143
5,30,390,647572A,1,384.6188886,400-600,10/26/2011 15:00,winter2012,3,-0.475695447,0.038312075
5,60,480,647572A,1,472.5911148,400-600,10/26/2011 18:00,winter2012,3,-0.236733307,0.32408388
5,30,450,647572A,1,449.2592291,400-600,10/26/2011 21:00,winter2012,3,-0.475695447,0.228826612
5,30,270,647572A,1,268.8434388,200-400,10/27/2011 0:00,winter2012,3,-0.475695447,-0.342716997
2,161.5549442,94.86832981,647572A,1,101.7214597,0-200,10/27/2011 3:00,winter2012,1,0.57219292,-0.89880248
3,94.86832981,0,647572A,1,11.69671365,0-200,10/27/2011 6:00,winter2012,1,0.04100705,-1.200032411
2,424.2640687,108.1665383,647572A,1,101.4842109,0-200,10/27/2011 9:00,winter2012,1,2.664777407,-0.856577446
2,201.246118,60,647572A,1,72.01127094,0-200,10/27/2011 12:00,winter2012,1,0.888349181,-1.009517874
5,30,540,647572A,1,532.4675722,400-600,10/27/2011 15:00,winter2012,3,-0.475695447,0.514598416
4,0,600,647572A,1,602.6208912,600-800,10/27/2011 18:01,winter2012,2,-0.714657587,0.705112952
1,60,360,647572A,1,371.5443517,200-400,10/27/2011 21:00,winter2012,1,-0.236733307,-0.056945193
2,189.7366596,458.9117562,647572A,1,479.3966814,400-600,10/28/2011 0:01,winter2012,1,0.796671687,0.257123597
2,127.2792206,450,647572A,1,445.4522349,400-600,10/28/2011 3:00,winter2012,1,0.299172911,0.228826612
2,301.4962686,240,647572A,1,255.5674656,200-400,10/28/2011 6:00,winter2012,1,1.686882199,-0.437974266
1,30,547.4486277,647572A,1,548.0490842,400-600,10/28/2011 9:00,winter2012,1,-0.475695447,0.538249614
1,256.3201124,276.5863337,647572A,1,268.9209445,200-400,10/28/2011 12:00,winter2012,1,1.327035833,-0.321803792
4,0,60,647572A,1,68.90087329,0-200,10/28/2011 15:00,winter2012,2,-0.714657587,-1.009517874
4,0,60,647572A,1,76.40981561,0-200,10/28/2011 18:00,winter2012,2,-0.714657587,-1.009517874
2,152.9705854,90,647572A,1,93.9028425,0-200,10/28/2011 21:01,winter2012,1,0.503815028,-0.914260606
2,120,30,647572A,1,32.08571172,0-200,10/29/2011 0:00,winter2012,1,0.241190973,-1.104775143
2,305.9411708,268.3281573,647572A,1,287.5506357,200-400,10/29/2011 3:00,winter2012,1,1.722287643,-0.348025503
2,295.4657341,212.1320344,647572A,1,240.267981,200-400,10/29/2011 6:00,winter2012,1,1.63884655,-0.526461808
2,342.0526275,313.2091953,647572A,1,322.8207658,200-400,10/29/2011 9:00,winter2012,1,2.009930009,-0.205517334
2,403.6087214,228.4731932,647572A,1,222.3025211,200-400,10/29/2011 12:01,winter2012,1,2.500249207,-0.47457467
4,0,30,647572A,1,24.50190411,0-200,10/29/2011 15:00,winter2012,2,-0.714657587,-1.104775143
4,0,30,647572A,1,28.75827168,0-200,10/29/2011 18:00,winter2012,2,-0.714657587,-1.104775143
4,0,30,647572A,1,34.31613385,0-200,10/29/2011 21:00,winter2012,2,-0.714657587,-1.104775143
