CatID,Sex,Age,ReprodStat,Season,Photoperiod,DateGMT,TimeGMT,DateTimeET,DateTimeET2,DateET2,TIMEET2,TTF,Zone,X,Y
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060317 1703,2006 3 17,1703,NA,17,501862.7293,2905965.537
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060318 003,2006 3 18,3,NA,17,500073.1669,2906131.629
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060318 704,2006 3 18,704,NA,17,499399.6066,2905839.744
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060318 1403,2006 3 18,1403,NA,17,499215.9142,2906053.22
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060318 2104,2006 3 18,2104,NA,17,499364.5204,2905854.575
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060319 403,2006 3 19,403,NA,17,499227.5026,2906041.016
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060319 1104,2006 3 19,1104,NA,17,499405.9242,2905953.27
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060319 1803,2006 3 19,1803,NA,17,499325.1002,2905830.219
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060320 104,2006 3 20,104,NA,17,498687.9556,2906816.867
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060320 803,2006 3 20,803,NA,17,498942.2963,2906153.298
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060320 1504,2006 3 20,1504,NA,17,499246.3428,2905901.83
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060320 2204,2006 3 20,2204,NA,17,499176.5044,2905661.808
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060321 503,2006 3 21,503,NA,17,499266.4403,2905749.282
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060321 1204,2006 3 21,1204,NA,17,499418.7096,2905934.742
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060321 1903,2006 3 21,1903,NA,17,499422.0298,2905803.319
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060322 204,2006 3 22,204,NA,17,501079.3633,2904667.575
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060322 1603,2006 3 22,1603,NA,17,500686.755,2904751.131
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060322 2303,2006 3 22,2303,NA,17,499872.3646,2905959.211
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060323 604,2006 3 23,604,NA,17,499274.144,2905822.106
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060323 1303,2006 3 23,1303,NA,17,499109.0534,2905832.225
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060324 303,2006 3 24,303,NA,17,500688.8687,2907367.523
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060324 1004,2006 3 24,1004,NA,17,500711.166,2907334.869
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060324 1703,2006 3 24,1703,NA,17,500816.4255,2907380.194
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060325 004,2006 3 25,4,NA,17,499405.0461,2905944.758
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060325 703,2006 3 25,703,NA,17,499143.8339,2905825.972
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060325 1404,2006 3 25,1404,NA,17,499334.2492,2905763.696
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060326 403,2006 3 26,403,NA,17,499093.9972,2905791.935
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060326 1104,2006 3 26,1104,NA,17,499270.6412,2906034.74
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060326 1803,2006 3 26,1803,NA,17,499446.6437,2905915.138
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060327 104,2006 3 27,104,NA,17,497557.5631,2901276.339
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060327 803,2006 3 27,803,NA,17,499847.1052,2902247.373
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060327 1503,2006 3 27,1503,NA,17,500998.6762,2905496.81
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060327 2203,2006 3 27,2203,NA,17,500498.2468,2905541.781
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060328 504,2006 3 28,504,NA,17,500266.2355,2907521.915
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060328 1903,2006 3 28,1903,NA,17,499963.135,2907548.066
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060329 203,2006 3 29,203,NA,17,500926.725,2907043.153
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060329 1604,2006 3 29,1604,NA,17,498306.7305,2902974.097
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060330 603,2006 3 30,603,NA,17,501031.7253,2901991.858
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060330 1304,2006 3 30,1304,NA,17,499614.8982,2900745.661
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060330 2003,2006 3 30,2003,NA,17,497906.3088,2900566.855
121,F,A,2,DRY,NIGHT,NA,NA,2.00603E+11,20060331 303,2006 3 31,303,NA,17,495034.9589,2904388.876
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060331 1003,2006 3 31,1003,NA,17,495301.9569,2906127.014
121,F,A,2,DRY,DAY,NA,NA,2.00603E+11,20060331 1703,2006 3 31,1703,NA,17,495128.8972,2905598.244
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060401 003,2006 4 1,3,NA,17,496859.6086,2906584.278
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060401 704,2006 4 1,704,NA,17,498820.1559,2902534.492
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060401 1403,2006 4 1,1403,NA,17,499058.3001,2902502.593
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060402 504,2006 4 2,504,NA,17,499437.7931,2905796.266
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060402 1204,2006 4 2,1204,NA,17,499407.2383,2906030.906
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060402 1904,2006 4 2,1904,NA,17,499360.748,2905942.686
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060403 204,2006 4 3,204,NA,17,499185.1935,2905873.677
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060403 1604,2006 4 3,1604,NA,17,499130.9819,2905752.777
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060404 604,2006 4 4,604,NA,17,498992.462,2902407.044
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060404 2003,2006 4 4,2003,NA,17,499434.7533,2905804.777
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060405 303,2006 4 5,303,NA,17,499343.6589,2905839.736
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060405 1703,2006 4 5,1703,NA,17,499428.1817,2905642.583
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060406 003,2006 4 5,3,NA,17,499299.849,2907325.75
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060406 703,2006 4 6,703,NA,17,501373.5561,2907234.77
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060406 1403,2006 4 6,1403,NA,17,501171.8545,2907205.644
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060406 2103,2006 4 6,2103,NA,17,501430.7644,2907128.825
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060407 403,2006 4 7,403,NA,17,499247.8958,2905718.55
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060407 1804,2006 4 7,1804,NA,17,499221.0307,2905992.168
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060408 804,2006 4 8,804,NA,17,499209.5814,2905984.744
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060408 1504,2006 4 8,1504,NA,17,499304.0704,2906054.834
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060408 2203,2006 4 8,2203,NA,17,499422.0844,2905955.26
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060409 503,2006 4 9,503,NA,17,499180.3566,2905722.094
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060409 1904,2006 4 9,1904,NA,17,499124.088,2906023.414
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060410 204,2006 4 10,204,NA,17,497399.6998,2902962.428
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060410 904,2006 4 10,904,NA,17,499091.1774,2903989.055
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060410 1603,2006 4 10,1603,NA,17,499420.2738,2905909.151
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060410 2304,2006 4 10,2304,NA,17,499291.4944,2906025.163
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060411 2004,2006 4 11,2004,NA,17,502045.1175,2905332.765
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060412 304,2006 4 12,304,NA,17,501833.527,2905391.648
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060412 1704,2006 4 12,1704,NA,17,499442.5323,2905966.897
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060413 704,2006 4 13,704,NA,17,498895.9721,2905661.893
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060413 1404,2006 4 13,1404,NA,17,497186.8312,2904140.237
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060413 2104,2006 4 13,2104,NA,17,500610.2941,2905566.442
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060414 404,2006 4 14,404,NA,17,500829.1596,2905715.448
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060414 1804,2006 4 14,1804,NA,17,499343.2661,2905916.828
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060415 804,2006 4 15,804,NA,17,497161.4214,2903907.936
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060415 1503,2006 4 15,1503,NA,17,500161.7594,2903882.36
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060415 2203,2006 4 15,2203,NA,17,500912.7198,2906549.721
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060416 503,2006 4 16,503,NA,17,499101.5667,2905812.711
121,F,A,2,DRY,DAY,NA,NA,2.00604E+11,20060416 1204,2006 4 16,1204,NA,17,499084.9142,2905723.713
121,F,A,2,DRY,NIGHT,NA,NA,2.00604E+11,20060416 1903,2006 4 16,1903,NA,17,501066.9338,2906105.347
